"","gene","sign_pVal.logFC","X.Replicon.Name","Replicon.Accession","Start","Stop","Strand","GeneID","Locus","Protein.product","Length","COG.s.","Protein.name","class","subclass","LocateP.Subcellular.Localization.Prediction"
"48","lp_0982",-2.5838067544608,"chr","NC_004567.2",912109,912810,"-",1063671,"brnF","YP_004888926.1",233,"-","branched-chain amino acid transport protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"166","lp_3236",-2.5207523541082,"chr","NC_004567.2",2883615,2884466,"+",1062207,"-","YP_004890768.1",283,"-","short-chain dehydrogenase/oxidoreductase,atypical SDR family, TMR-like","Hypothetical proteins","Conserved: other","@Intracellular"
"111","lp_2629",-2.50500019538289,"chr","NC_004567.2",2341564,2343321,"-",1062877,"pox3","YP_004890281.1",585,"-","pyruvate oxidase","Energy metabolism","Aerobic","@Intracellular"
"93","lp_1908",-2.45127321000192,"chr","NC_004567.2",1725553,1726758,"+",1062047,"-","YP_004889684.1",401,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"158","lp_3177",-2.38177948164064,"chr","NC_004567.2",2836009,2836371,"+",1063993,"-","YP_004890722.1",120,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"60","lp_1442",-2.32908452814869,"chr","NC_004567.2",1319554,1320195,"+",1062415,"-","YP_004889288.1",213,"-","Crp/FNR family transcriptional regulator","Regulatory functions","Crp/FNR-family regulators","@Intracellular"
"38","lp_0894",-2.27236612166126,"chr","NC_004567.2",823824,824585,"-",1062985,"-","YP_004888850.1",253,"-","anion exporter, TauE/SafE family","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"171","lp_3283",-2.09993239532583,"chr","NC_004567.2",2923724,2924842,"+",1061840,"-","YP_004890804.1",372,"-","methonine synthase (cobalamine-independent),C-terminal domain","Amino acid biosynthesis","Aspartate family","@Intracellular"
"3","lp_0075",-2.08978167577456,"chr","NC_004567.2",72330,72977,"+",1061266,"azoR1","YP_004888154.1",215,"-","FMN-dependent NADH-azoreductase","Energy metabolism","Electron transport","@Intracellular"
"136","lp_2923",-2.03560541447102,"chr","NC_004567.2",2602345,2603175,"-",1063342,"-","YP_004890513.1",276,"-","lipase/esterase","Hypothetical proteins","Conserved: putative function","@Intracellular"
"167","lp_3237",-2.009799586687,"chr","NC_004567.2",2884581,2885405,"-",1061445,"-","YP_004890769.1",274,"-","hydrolase, HAD superfamily, Cof family","Hypothetical proteins","Conserved: putative function","@Intracellular"
"32","lp_0583",-2.00851776737639,"chr","NC_004567.2",556435,556818,"+",1061541,"-","YP_004888582.1",127,"-","hypothetical protein lp_0583","Hypothetical proteins","Conserved: other","@Intracellular"
"36","lp_0874",-1.99457727754421,"chr","NC_004567.2",809220,810851,"+",1061514,"-","YP_004888835.1",543,"-","bifunctional protein: aminotransferase (pyridoxal-phosphate-dependent); 2-hydroxyacid dehydrogenase","Energy metabolism","Amino acids and amines","@Intracellular"
"45","lp_0955",-1.98895719752733,"chr","NC_004567.2",886662,887291,"-",1063954,"azoR2","YP_004888903.1",209,"-","FMN-dependent NADH-azoreductase","Energy metabolism","Electron transport","@Intracellular"
"108","lp_2564",-1.89265935435646,"chr","NC_004567.2",2283903,2285066,"+",1062760,"-","YP_004890232.1",387,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"195","lp_3581",-1.84347601177941,"chr","NC_004567.2",3197044,3198303,"-",1062036,"lamC","YP_004891057.1",419,"-","two-component system histidine protein kinase; sensor protein","Regulatory functions","Two-component regulators","@Multi-transmembrane"
"194","lp_3580",-1.82268974219515,"chr","NC_004567.2",3196308,3197051,"-",1062045,"lamA","YP_004891056.1",247,"-","two-component system response regulator; accesory gene regulator protein A","Regulatory functions","Two-component regulators","@Intracellular"
"151","lp_3081",-1.82084978277458,"chr","NC_004567.2",2741927,2742289,"-",1063645,"-","YP_004890641.1",120,"-","MarR family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"133","lp_2885",-1.79214606276546,"chr","NC_004567.2",2565416,2565955,"-",1063282,"-","YP_004890485.1",179,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"16","lp_0271",-1.78962822560368,"chr","NC_004567.2",247890,248453,"+",1061178,"-","YP_004888312.1",187,"-","aromatic acid carboxylyase, subunit B","Hypothetical proteins","Conserved: putative function","@Intracellular"
"104","lp_2131",-1.74215231593264,"chr","NC_004567.2",1924138,1924863,"-",1063829,"comEA","YP_004889878.1",241,"-","ComE operon protein 1, DNA receptor","Cellular processes","DNA Transformation and competence","@N-terminally anchored (No CS)"
"19","lp_0314",-1.72863734953004,"chr","NC_004567.2",290271,290603,"+",1064059,"-","YP_004888352.1",110,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"46","lp_0965",-1.71878075416654,"chr","NC_004567.2",896845,897171,"-",1063827,"-","YP_004888912.1",108,"-","ArsR family transcriptional regulator","Regulatory functions","ArsR-family regulators","@Intracellular"
"17","lp_0272",-1.70926124817925,"chr","NC_004567.2",248456,248866,"+",1061175,"-","YP_004888313.1",136,"-","aromatic acid carboxylyase, subunit D","Hypothetical proteins","Conserved: putative function","@Intracellular"
"67","lp_1483",-1.70492378864281,"chr","NC_004567.2",1357503,1358381,"+",1062322,"-","YP_004889325.1",292,"-","Xre family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"12","lp_0169",-1.67726855787985,"chr","NC_004567.2",145452,146033,"+",1061298,"dak2","YP_004888226.1",193,"-","dihydroxyacetone phosphotransferase,ADP-binding subunit","Fatty acid and phospholipid metabolism","Glycerolipid metabolism","@Intracellular"
"162","lp_3214",-1.67214104213035,"chr","NC_004567.2",2862968,2863783,"+",1061976,"-","YP_004890750.1",271,"-","cystathionine ABC transporter, substrate binding protein","Transport and binding proteins","Amino acids, peptides and amines","@Lipid anchored"
"11","lp_0168",-1.63767511326138,"chr","NC_004567.2",144440,145438,"+",1061299,"dak1B","YP_004888225.1",332,"-","dihydroxyacetone phosphotransferase,dihydroxyacetone binding subunit","Fatty acid and phospholipid metabolism","Glycerolipid metabolism","@Intracellular"
"185","lp_3490",-1.63507931447339,"chr","NC_004567.2",3102983,3103351,"+",1063324,"-","YP_004890972.1",122,"-","FMN-binding protein","Energy metabolism","Electron transport","@Intracellular"
"192","lp_3571",-1.63217992831543,"chr","NC_004567.2",3189353,3190039,"+",1062015,"nanE","YP_004891047.1",228,"-","N-acetylmannosamine-6-phosphate 2-epimerase","Central intermediary metabolism","Amino sugars","@Intracellular"
"31","lp_0528",-1.58833195687844,"chr","NC_004567.2",476966,477991,"+",1061865,"argC2","YP_004888532.1",341,"-","N-acetyl-gamma-glutamyl-phosphate reductase","Amino acid biosynthesis","Glutamate family","@Intracellular"
"62","lp_1450",-1.50190679092054,"chr","NC_004567.2",1328198,1328902,"-",1062394,"-","YP_004889295.1",234,"-","cell surface protein, CscB family","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"14","lp_0171",-1.49070615136527,"chr","NC_004567.2",146413,147120,"+",1061296,"dhaP","YP_004888228.1",235,"-","dihydroxyacetone transport protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
"1","lp_0050",-1.470921191723,"chr","NC_004567.2",49758,50408,"+",1061233,"pnbA","YP_004888132.1",216,"-","nitrobenzoate reductase","Energy metabolism","Phenolic acids","@Intracellular"
"141","lp_2964",-1.45743604050264,"chr","NC_004567.2",2637917,2638219,"-",1063418,"-","YP_004890542.1",100,"-","HxlR family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"164","lp_3221",-1.39941965991248,"chr","NC_004567.2",2870482,2871483,"-",1061864,"-","YP_004890757.1",333,"-","LacI family transcriptional regulator","Regulatory functions","LacI-family regulators","@Intracellular"
"186","lp_3514",-1.39722265594953,"chr","NC_004567.2",3129067,3129912,"-",1062503,"bglG4","YP_004890995.1",281,"-","transcription antiterminator, BlgB family","Regulatory functions","BglB-family regulators","@Intracellular"
"29","lp_0472",-1.37207544925336,"chr","NC_004567.2",422195,423217,"+",1064142,"-","YP_004888485.1",340,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"13","lp_0170",-1.35988449404796,"chr","NC_004567.2",146030,146398,"+",1061297,"dak3","YP_004888227.1",122,"-","dihydroxyacetone phosphotransferase, phosphoryl donor protein","Fatty acid and phospholipid metabolism","Glycerolipid metabolism","@Intracellular"
"20","lp_0347",-1.32952472559877,"chr","NC_004567.2",316235,316777,"+",1062182,"-","YP_004888380.1",180,"-","PadR family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"152","lp_3082",-1.32034557872945,"chr","NC_004567.2",2742416,2743621,"+",1063605,"-","YP_004890642.1",401,"-","carbohydrate transporter, major facilitator superfamily (MFS), putative 2,5 didehydro-D-gluconate-like","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"99","lp_2062",-1.314395998237,"chr","NC_004567.2",1863376,1863615,"-",1061894,"-","YP_004889820.1",79,"-","hypothetical protein lp_2062","Hypothetical proteins","Conserved: other","@Intracellular"
"122","lp_2708",-1.30244122080621,"chr","NC_004567.2",2408785,2410374,"+",1063005,"pucR","YP_004890340.1",529,"-","purine transport regulator","Regulatory functions","Other","@Intracellular"
"63","lp_1465",-1.30165797314583,"chr","NC_004567.2",1342474,1342638,"-",11933297,"-","YP_004889308.1",54,"-","hypothetical protein lp_1465","Hypothetical proteins","Conserved: other",""
"83","lp_1708",-1.30112700503569,"chr","NC_004567.2",1550623,1550844,"-",1061713,"-","YP_004889523.1",73,"-","hypothetical protein lp_1708","Hypothetical proteins","Conserved: other","@Intracellular"
"109","lp_2573",-1.25954441408533,"chr","NC_004567.2",2291119,2291337,"-",1062784,"-","YP_004890240.1",72,"-","hypothetical protein lp_2573","Hypothetical proteins","Not conserved: other","@Intracellular"
"112","lp_2658",-1.23416296265227,"chr","NC_004567.2",2361319,2362494,"-",1062912,"-","YP_004890301.1",391,"-","glycosyltransferase, family 1 (GT1)","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"132","lp_2874",-1.22779548898741,"chr","NC_004567.2",2559329,2560186,"-",1063249,"-","YP_004890477.1",285,"-","short-chain dehydrogenase","Energy metabolism","Aerobic","@Intracellular"
"131","lp_2872",-1.21285417564787,"chr","NC_004567.2",2557662,2558258,"-",1063262,"-","YP_004890475.1",198,"-","NAD(P)-dependent oxidoreductase, atypical SDR family, subgroup 6","Energy metabolism","Aerobic","@Intracellular"
"5","lp_0082",-1.21162432196223,"chr","NC_004567.2",78281,79285,"-",1061260,"-","YP_004888160.1",334,"-","medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein","Hypothetical proteins","Conserved: putative function","@Intracellular"
"129","lp_2843",-1.21129177539783,"chr","NC_004567.2",2533183,2534691,"-",1063213,"tagE5","YP_004890449.1",502,"-","poly(glycerol-phosphate) alpha-glucosyltransferase","Cell envelope","Teichoic acid biosynthesis","@Intracellular"
"90","lp_1885",-1.20660099203688,"chr","NC_004567.2",1702388,1703827,"-",1062038,"recQ2","YP_004889666.1",479,"-","ATP-dependent DNA helicase RecQ","DNA metabolism","DNA replication recombination, and repair","@Intracellular"
"65","lp_1467",-1.18893173381551,"chr","NC_004567.2",1344645,1344869,"-",1062355,"feoA","YP_004889310.1",74,"-","ferrous iron transport protein A","Transport and binding proteins","Cations","@Intracellular"
"165","lp_3225",-1.18225980471845,"chr","NC_004567.2",2873659,2874309,"-",1062250,"-","YP_004890760.1",216,"-","ABC transporter ATP-binding protein","Transport and binding proteins","Unknown substrate","@Intracellular"
"92","lp_1887",-1.18181083534423,"chr","NC_004567.2",1705193,1705777,"-",1061641,"-","YP_004889668.1",194,"-","riboflavin transporter","Transport and binding proteins","Other","@Multi-transmembrane"
"21","lp_0348",-1.17350347503334,"chr","NC_004567.2",316774,318219,"+",1062179,"-","YP_004888381.1",481,"-","multidrug-efflux transporter, major facilitator superfamily (MFS), EmrB family","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"9","lp_0126",-1.17119739948199,"chr","NC_004567.2",113390,113584,"-",1061343,"-","YP_004888193.1",64,"-","stress-responsive transcription regulator","Regulatory functions","Other","@N-terminally anchored (No CS)"
"193","lp_3579",-1.15979437916561,"chr","NC_004567.2",3195515,3195952,"-",1062042,"spx5","YP_004891055.1",145,"-","RNA polymerase (RNAP)-binding regulatory protein, arsenate reductase (ArsC) family, Spx subfamily","Regulatory functions","Protein interactions","@Intracellular"
"61","lp_1447",-1.15897950148578,"chr","NC_004567.2",1326012,1326383,"-",1062403,"-","YP_004889292.1",123,"-","cell surface protein precursor, CscD family,LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"154","lp_3091",-1.15469191579916,"chr","NC_004567.2",2750380,2751294,"+",1063634,"-","YP_004890649.1",304,"-","short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 1","Hypothetical proteins","Conserved: other","@Intracellular"
"176","lp_3392",-1.15341404405241,"chr","NC_004567.2",3007513,3008736,"+",1063791,"-","YP_004890891.1",407,"-","transport protein, major facilitator superfamily (MFS)","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"50","lp_1253",-1.14716380063503,"chr","NC_004567.2",1137086,1138408,"-",1062967,"gshR2","YP_004889147.1",440,"-","glutathione reductase","Biosynthesis of cofactors, prosthetic groups, and carriers","Glutathione, thioredoxin, and glutaredoxin","@Intracellular"
"55","lp_1388",-1.14241614563315,"chr","NC_004567.2",1271333,1271578,"+",1062546,"-","YP_004889246.1",81,"-","hypothetical protein lp_1388","Hypothetical proteins","Conserved: other","@Intracellular"
"110","lp_2574",-1.13606494145729,"chr","NC_004567.2",2291337,2291966,"-",1062791,"-","YP_004890241.1",209,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"107","lp_2524",-1.1346514536359,"chr","NC_004567.2",2251205,2252395,"+",1062715,"-","YP_004890202.1",396,"-","diguanylate cyclase/phosphodiesterase, GGDEF domain","Hypothetical proteins","Conserved: putative function","@Multi-transmembrane"
"172","lp_3284",-1.13380272212579,"chr","NC_004567.2",2924930,2925313,"-",1061844,"qacC","YP_004890805.1",127,"-","quaternary ammonium compound-resistance protein","Transport and binding proteins","Multidrug resistance","@Multi-transmembrane"
"64","lp_1466",-1.13328263033765,"chr","NC_004567.2",1342655,1344643,"-",1062356,"feoB","YP_004889309.1",662,"-","ferrous iron transport protein B","Transport and binding proteins","Cations","@Multi-transmembrane"
"160","lp_3179",-1.13022621572914,"chr","NC_004567.2",2836986,2837420,"+",1064012,"-","YP_004890724.1",144,"-","hypothetical protein lp_3179","Hypothetical proteins","Conserved: other","@Intracellular"
"37","lp_0889",-1.12048108319881,"chr","NC_004567.2",820381,820821,"-",1061199,"-","YP_004888846.1",146,"-","MarR family transcriptional regulator","Regulatory functions","MarR-family regulators","@Intracellular"
"66","lp_1482",-1.1056023107997,"chr","NC_004567.2",1357135,1357473,"+",1062323,"-","YP_004889324.1",112,"-","FeS assembly SUF system protein","Hypothetical proteins","Conserved: other","@Intracellular"
"191","lp_3549",-1.09785896008752,"chr","NC_004567.2",3168151,3168918,"+",1061966,"-","YP_004891027.1",255,"-","DeoR family transcriptional regulator","Regulatory functions","DeoR-family regulators","@Intracellular"
"25","lp_0441",-1.08340334846939,"chr","NC_004567.2",395150,396046,"+",1061350,"-","YP_004888460.1",298,"-","bifunctional protein: transcription regulator; sugar kinase, ROK family","Energy metabolism","Sugars","@Intracellular"
"127","lp_2804",-1.07828032411043,"chr","NC_004567.2",2497325,2498224,"+",1063143,"-","YP_004890422.1",299,"-","LysR family transcriptional regulator","Regulatory functions","LysR-family regulators","@Intracellular"
"170","lp_3254",-1.0629761301271,"chr","NC_004567.2",2897377,2897796,"-",1061807,"lrgA","YP_004890783.1",139,"-","murein hydrolase export protein","Cell envelope","Murein sacculus and peptidoglycan","@Multi-transmembrane"
"82","lp_1699",-1.06020061385472,"chr","NC_004567.2",1546549,1546797,"+",1064130,"-","YP_004889515.1",82,"-","hypothetical protein lp_1699","Hypothetical proteins","Not conserved: other","@Intracellular"
"130","lp_2844",-1.05918320757188,"chr","NC_004567.2",2534688,2536232,"-",1063214,"tagE6","YP_004890450.1",514,"-","poly(glycerol-phosphate) alpha-glucosyltransferase","Cell envelope","Teichoic acid biosynthesis","@Intracellular"
"106","lp_2516",-1.05269464029628,"chr","NC_004567.2",2247122,2247286,"-",1062688,"-","YP_004890196.1",54,"-","hypothetical protein lp_2516","Hypothetical proteins","Not conserved: other","@Intracellular"
"4","lp_0081",-1.04986202875622,"chr","NC_004567.2",77561,78235,"-",1061261,"-","YP_004888159.1",224,"-","ThiJ/PfpI family protein, Type 1 glutamine amidotransferase (GATase1)-like domain","Hypothetical proteins","Conserved: putative function","@Intracellular"
"35","lp_0838",-1.04019369718511,"chr","NC_004567.2",776388,776900,"-",1061866,"-","YP_004888807.1",170,"-","membrane protein","Hypothetical proteins","Conserved: other","@Multi-transmembrane"
"91","lp_1886",-1.03754188855657,"chr","NC_004567.2",1703814,1704857,"-",1061166,"-","YP_004889667.1",347,"-","hypothetical protein lp_1886","Hypothetical proteins","Conserved: other","@Intracellular"
"168","lp_3247",-1.03226555918957,"chr","NC_004567.2",2893559,2894041,"+",1062208,"fur","YP_004890778.1",160,"-","ferric uptake regulator","Regulatory functions","Other","@Intracellular"
"15","lp_0215",-1.02642129839701,"chr","NC_004567.2",196433,197953,"+",1061413,"-","YP_004888265.1",506,"-","ABC transporter ATP-binding protein","Transport and binding proteins","Unknown substrate","@Intracellular"
"173","lp_3285",-1.01059457975016,"chr","NC_004567.2",2925328,2925636,"-",1062766,"qacH","YP_004890806.1",102,"-","quaternary ammonium compound-resistance protein","Transport and binding proteins","Multidrug resistance","@Multi-transmembrane"
"34","lp_0787",-1.00296810730999,"chr","NC_004567.2",722326,723663,"+",1063796,"rpoN","YP_004888761.1",445,"-","DNA-directed RNA polymerase, sigma factor 54","Transcription","Transcription factors","@Intracellular"
"84","lp_1790",-1.00207772755748,"chr","NC_004567.2",1622038,1622532,"+",1061517,"-","YP_004889591.1",164,"-","phosphohydrolase","Purines, pyrimidines, nucleosides and nucleotides","Salvage of nucleosides and nucleotides","@Intracellular"
"121","lp_2701",1.00065435373477,"chr","NC_004567.2",2403822,2404916,"-",1062973,"pyrAA","YP_004890336.1",364,"-","carbamoyl-phosphate synthase,pyrimidine-specific, small chain","Purines, pyrimidines, nucleosides and nucleotides","Pyrimidine ribonucleotide biosynthesis","@Intracellular"
"147","lp_3017",1.0210510331961,"chr","NC_004567.2",2684713,2685060,"+",1063530,"-","YP_004890588.1",115,"-","hypothetical protein lp_3017","Hypothetical proteins","Conserved: other","@Intracellular"
"113","lp_2667",1.04296004751495,"chr","NC_004567.2",2370970,2371332,"+",1062921,"-","YP_004890310.1",120,"-","hypothetical protein lp_2667","Hypothetical proteins","Conserved: other","@Intracellular"
"128","lp_2809",1.05994481630173,"chr","NC_004567.2",2506482,2507147,"-",1063174,"-","YP_004890425.1",221,"-","extracellular protein","Cell envelope","Cell surface proteins: other","@N-terminally anchored (No CS)"
"146","lp_3014",1.07801693814673,"chr","NC_004567.2",2682079,2682693,"+",1063529,"-","YP_004890585.1",204,"-","extracellular transglycosylase, with LysM peptidoglycan binding domain","Cell envelope","Cell surface proteins: peptidoglycan-bound","@N-terminally anchored (No CS)"
"69","lp_1670",1.09948295044385,"chr","NC_004567.2",1522732,1523175,"+",1061766,"fabZ1","YP_004889487.1",147,"-","(3R)-hydroxyacyl","Fatty acid and phospholipid metabolism","Fatty acid biosynthesis","@Intracellular"
"148","lp_3022",1.10414340790087,"chr","NC_004567.2",2688754,2689179,"-",1062812,"-","YP_004890593.1",141,"-","hypothetical protein lp_3022","Hypothetical proteins","Conserved: other","@Intracellular"
"22","lp_0349",1.13495888749077,"chr","NC_004567.2",318549,319865,"-",1062189,"amtB","YP_004888382.1",438,"-","ammonium transport protein","Transport and binding proteins","Cations","@Multi-transmembrane"
"140","lp_2949",1.15305425537467,"chr","NC_004567.2",2626649,2627620,"+",1063390,"-","YP_004890532.1",323,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"8","lp_0121",1.15870603446168,"chr","NC_004567.2",107856,108563,"+",1061348,"-","YP_004888189.1",235,"-","hypothetical protein lp_0121","Hypothetical proteins","Not conserved: other","@Intracellular"
"94","lp_1933",1.15945217841375,"chr","NC_004567.2",1752844,1753452,"-",1061662,"thgA2","YP_004889707.1",202,"-","galactoside O-acetyltransferase","Central intermediary metabolism","General","@Intracellular"
"23","lp_0372",1.16815914910079,"chr","NC_004567.2",342261,342983,"+",1064207,"glpF3","YP_004888403.1",240,"-","glycerol uptake facilitator protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
"70","lp_1671",1.17933169486138,"chr","NC_004567.2",1523250,1524236,"+",1064006,"fabH2","YP_004889488.1",328,"-","3-oxoacyl-ACP synthase","Fatty acid and phospholipid metabolism","Fatty acid biosynthesis","@Intracellular"
"145","lp_3011",1.18431635557364,"chr","NC_004567.2",2678548,2679930,"-",1063502,"pbg6","YP_004890582.1",460,"-","6-phospho-beta-glucosidase","Energy metabolism","Sugars","@Intracellular"
"98","lp_1955",1.1846317677496,"chr","NC_004567.2",1769226,1769978,"+",1061671,"-","YP_004889725.1",250,"-","ABC transporter permease","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"97","lp_1945",1.1886121427445,"chr","NC_004567.2",1763406,1764293,"-",1061665,"-","YP_004889718.1",295,"-","multidrug ABC transporter ATP-binding protein","Transport and binding proteins","Unknown substrate","@Intracellular"
"181","lp_3440",1.19292534814525,"chr","NC_004567.2",3050910,3051113,"-",11933322,"-","YP_004890932.1",67,"-","hypothetical protein lp_3440","Hypothetical proteins","Conserved: other",""
"134","lp_2889",1.20794721191245,"chr","NC_004567.2",2568686,2569552,"-",1063288,"-","YP_004890488.1",288,"-","hypothetical protein lp_2889","Amino acid biosynthesis","Aspartate family","@Intracellular"
"183","lp_3454",1.21145459797713,"chr","NC_004567.2",3063017,3063295,"-",1063525,"-","YP_004890943.1",92,"-","cell surface protein (putative)","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"73","lp_1674",1.23122379537176,"chr","NC_004567.2",1525464,1526192,"+",1061758,"fabG1","YP_004889491.1",242,"-","3-oxoacyl-ACP reductase","Fatty acid and phospholipid metabolism","Fatty acid biosynthesis","@Intracellular"
"72","lp_1673",1.23387908905708,"chr","NC_004567.2",1524545,1525477,"+",1062127,"fabD","YP_004889490.1",310,"-","[acyl-carrier protein] S-malonyltransferase [Lactobacillus plantarum WCFS1]","Fatty acid and phospholipid metabolism","Fatty acid biosynthesis","@Intracellular"
"101","lp_2071",1.23506369276508,"chr","NC_004567.2",1868303,1869244,"+",1061772,"-","YP_004889827.1",313,"-","family 2 glycosyltransferase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Multi-transmembrane"
"116","lp_2688",1.24023027029096,"chr","NC_004567.2",2386086,2386859,"-",1062955,"tauE1","YP_004890325.1",257,"-","sulfite export protein","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"76","lp_1677",1.2644599242783,"chr","NC_004567.2",1527901,1528314,"+",1061750,"fabZ2","YP_004889494.1",137,"-","(3R)-hydroxymyristoyl-ACP dehydratase","Fatty acid and phospholipid metabolism","Fatty acid biosynthesis","@Intracellular"
"157","lp_3155",1.27262937166645,"chr","NC_004567.2",2819313,2819972,"+",1063968,"-","YP_004890703.1",219,"-","cell surface protein, ErfK family","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"41","lp_0925",1.28326918149534,"chr","NC_004567.2",857506,859353,"+",1061821,"-","YP_004888877.1",615,"-","acyltransferase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Multi-transmembrane"
"71","lp_1672",1.2970128855908,"chr","NC_004567.2",1524293,1524541,"+",1061849,"acpA2","YP_004889489.1",82,"-","acyl carrier protein","Fatty acid and phospholipid metabolism","Fatty acid biosynthesis","@Intracellular"
