"","gene","sign_pVal.logFC","X.Replicon.Name","Replicon.Accession","Start","Stop","Strand","GeneID","Locus","Protein.product","Length","COG.s.","Protein.name","class","subclass","LocateP.Subcellular.Localization.Prediction"
"297","lp_2710",-2.67018029809356,"chr","NC_004567.2",2410634,2411974,"+",1062988,"-","YP_004890341.1",446,"-","xanthine permease","Transport and binding proteins","Nucleosides, purines and pyrimidines","@Multi-transmembrane"
"360","lp_3254",-2.61670440094718,"chr","NC_004567.2",2897377,2897796,"-",1061807,"lrgA","YP_004890783.1",139,"-","murein hydrolase export protein","Cell envelope","Murein sacculus and peptidoglycan","@Multi-transmembrane"
"315","lp_2830",-2.55759143357993,"chr","NC_004567.2",2523816,2525216,"-",1063194,"ansB","YP_004890441.1",466,"-","aspartate ammonia-lyase","Amino acid biosynthesis","Glutamate family","@Intracellular"
"283","lp_2638",-2.35995922914069,"chr","NC_004567.2",2348602,2349108,"+",1062874,"-","YP_004890288.1",168,"-","membrane protein","Hypothetical proteins","Conserved: other","@Multi-transmembrane"
"239","lp_2108",-2.17995669431552,"chr","NC_004567.2",1902306,1903064,"-",1061509,"cps4A","YP_004889858.1",252,"-","polysaccharide biosynthesis protein, chain length regulator","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Multi-transmembrane"
"361","lp_3255",-2.14747566965806,"chr","NC_004567.2",2897816,2898544,"-",1062544,"lrgB","YP_004890784.1",242,"-","murein hydrolase regulator","Cell envelope","Murein sacculus and peptidoglycan","@Multi-transmembrane"
"407","lp_3513",-2.13924687960888,"chr","NC_004567.2",3127068,3128942,"-",1062724,"pts30BCA","YP_004890994.1",624,"-","PTS system, beta-glucosides-specific EIIBCA component","Transport and binding proteins","PTS systems","@Multi-transmembrane"
"95","lp_0600",-2.11418267848217,"chr","NC_004567.2",571808,572500,"+",1061566,"zmp2","YP_004888596.1",230,"-","extracellular zinc metalloproteinase, M10 family","Cell envelope","Cell surface proteins: other","@N-terminally anchored (No CS)"
"126","lp_0955",-2.10754006974161,"chr","NC_004567.2",886662,887291,"-",1063954,"azoR2","YP_004888903.1",209,"-","FMN-dependent NADH-azoreductase","Energy metabolism","Electron transport","@Intracellular"
"267","lp_2509",-2.04457428533643,"chr","NC_004567.2",2242165,2243103,"+",1062680,"-","YP_004890191.1",312,"-","drug/metabolite transport protein, EamA family","Transport and binding proteins","Drug/metabolite (DMT superfamily)","@Multi-transmembrane"
"124","lp_0935",-2.03809012087198,"chr","NC_004567.2",864484,865056,"+",1064027,"-","YP_004888886.1",190,"-","hypothetical protein lp_0935","Hypothetical proteins","Not conserved: other","@Intracellular"
"168","lp_1239",-2.01468722301212,"chr","NC_004567.2",1126010,1126768,"+",1063022,"-","YP_004889135.1",252,"-","hypothetical protein lp_1239","Hypothetical proteins","Conserved: other","@Intracellular"
"238","lp_2107",-1.96780645824078,"chr","NC_004567.2",1901581,1902288,"-",1064041,"cps4B","YP_004889857.1",235,"-","polysaccharide biosynthesis protein","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"42","lp_0192",-1.94207175760501,"chr","NC_004567.2",173145,174545,"-",1061439,"nha1","YP_004888247.1",466,"-","tyrosine-related transport protein, NHAC family","Transport and binding proteins","Cations","@Multi-transmembrane"
"367","lp_3301",-1.88998196270071,"chr","NC_004567.2",2935717,2936250,"-",1062592,"-","YP_004890820.1",177,"-","bacteriocin transport protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"266","lp_2503",-1.83087263786417,"chr","NC_004567.2",2235156,2236013,"-",1062677,"-","YP_004890185.1",285,"-","sugar transport protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
"99","lp_0733",-1.82221985480452,"chr","NC_004567.2",670691,671593,"+",1063421,"pstF","YP_004888715.1",300,"-","phosphate ABC transporter substrate-binding protein","Transport and binding proteins","Anions","@Lipid anchored"
"174","lp_1268",-1.80735658368791,"chr","NC_004567.2",1153430,1153981,"+",1062923,"-","YP_004889160.1",183,"-","integrase/recombinase","Other categories","Phage and prophage related functions","@Intracellular"
"179","lp_1388",-1.80157787752128,"chr","NC_004567.2",1271333,1271578,"+",1062546,"-","YP_004889246.1",81,"-","hypothetical protein lp_1388","Hypothetical proteins","Conserved: other","@Intracellular"
"254","lp_2240",-1.80141986902789,"chr","NC_004567.2",2028235,2029620,"-",1061525,"-","YP_004889967.1",461,"-","amino acid transport protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"399","lp_3490",-1.79449745782758,"chr","NC_004567.2",3102983,3103351,"+",1063324,"-","YP_004890972.1",122,"-","FMN-binding protein","Energy metabolism","Electron transport","@Intracellular"
"226","lp_1955",-1.79402726055438,"chr","NC_004567.2",1769226,1769978,"+",1061671,"-","YP_004889725.1",250,"-","ABC transporter permease","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"123","lp_0934",-1.75856050412798,"chr","NC_004567.2",864045,864377,"+",1064029,"-","YP_004888885.1",110,"-","PTS system transporter subunit IIA","Hypothetical proteins","Conserved: other","@Intracellular"
"16","lp_0108",-1.75730230745984,"chr","NC_004567.2",96329,97045,"+",1061363,"glpF1","YP_004888178.1",238,"-","glycerol uptake facilitator protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
"87","lp_0528",-1.73527013305474,"chr","NC_004567.2",476966,477991,"+",1061865,"argC2","YP_004888532.1",341,"-","N-acetyl-gamma-glutamyl-phosphate reductase","Amino acid biosynthesis","Glutamate family","@Intracellular"
"165","lp_1160",-1.72229512275807,"chr","NC_004567.2",1058875,1059075,"+",1063203,"cspP","YP_004889063.1",66,"-","cold shock protein CspP","Cellular processes","Adaptations and atypical conditions (Heat/cold shock)","@Intracellular"
"380","lp_3415",-1.72030723998492,"chr","NC_004567.2",3030482,3031219,"+",1063759,"-","YP_004890910.1",245,"-","AraC family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"105","lp_0822",-1.69634699563233,"chr","NC_004567.2",761632,763449,"+",1063937,"glmS1","YP_004888793.1",605,"-","glutamine-fructose-6-phosphate transaminase","Central intermediary metabolism","Amino sugars","@Intracellular"
"379","lp_3411",-1.66342493392299,"chr","NC_004567.2",3023758,3024726,"+",1063773,"-","YP_004890906.1",322,"-","extracellular protein","Cell envelope","Cell surface proteins: other","@N-terminally anchored (with CS)"
"85","lp_0512",-1.65047655207859,"chr","NC_004567.2",458582,458827,"+",1061502,"rpmE","YP_004888518.1",81,"-","50S ribosomal protein L31","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"201","lp_1638",-1.64569921629091,"chr","NC_004567.2",1493144,1493668,"+",1062156,"rimM","YP_004889463.1",174,"-","16S rRNA processing protein","Transcription","RNA processing","@Intracellular"
"258","lp_2341",-1.63932679583513,"chr","NC_004567.2",2116268,2117398,"-",1062351,"bla2","YP_004890048.1",376,"-","beta-lactamase, class A","Cell envelope","Cell surface proteins: other","@N-terminally anchored (No CS)"
"408","lp_3514",-1.62013518994395,"chr","NC_004567.2",3129067,3129912,"-",1062503,"bglG4","YP_004890995.1",281,"-","transcription antiterminator, BlgB family","Regulatory functions","BglB-family regulators","@Intracellular"
"86","lp_0520",-1.61002832001527,"chr","NC_004567.2",465293,466879,"+",1061824,"rhe1","YP_004888525.1",528,"-","ATP-dependent RNA helicase","Transcription","RNA processing","@Intracellular"
"96","lp_0616",-1.60703581308522,"chr","NC_004567.2",585773,585958,"+",1061606,"secE","YP_004888610.1",61,"-","Preprotein translocase subunit SecE","Protein fate","Protein and peptide secretion","@N-terminally anchored (No CS)"
"331","lp_2988",-1.5956087452138,"chr","NC_004567.2",2659090,2659890,"-",1063460,"zmp3","YP_004890563.1",266,"-","extracellular zinc metalloproteinase, M10 family","Cell envelope","Cell surface proteins: other","@Intracellular"
"353","lp_3190",-1.57751884315171,"chr","NC_004567.2",2842945,2844105,"-",1061951,"hpk11","YP_004890731.1",386,"-","two component system histidine protein kinase; sensor protein","Regulatory functions","Two-component regulators","@Multi-transmembrane"
"264","lp_2488",-1.56451283235243,"chr","NC_004567.2",2224954,2225085,"-",1062666,"-","YP_004890172.1",43,"-","hypothetical protein lp_2488","Hypothetical proteins","Not conserved: other","@Intracellular"
"341","lp_3072",-1.5387372865993,"chr","NC_004567.2",2733517,2734560,"-",1063607,"-","YP_004890633.1",347,"-","cell surface protein precursor","Cell envelope","Cell surface proteins: other","@LPxTG Cell-wall anchored"
"146","lp_1044",-1.53469858979621,"chr","NC_004567.2",957688,957957,"+",1063517,"rpsQ","YP_004888967.1",89,"-","30S ribosomal protein S17","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"45","lp_0214",-1.52298334318993,"chr","NC_004567.2",195749,196132,"-",1061414,"-","YP_004888264.1",127,"-","chromosome condensation protein","Cellular processes","Other","@Multi-transmembrane"
"135","lp_1011",-1.52213581075,"chr","NC_004567.2",932207,932842,"+",1063542,"dgk1","YP_004888946.1",211,"-","deoxyadenosine kinase / deoxyguanosine kinase","Purines, pyrimidines, nucleosides and nucleotides","2'-deoxyribonucleotide metabolism","@Intracellular"
"157","lp_1058",-1.51946385920684,"chr","NC_004567.2",963418,964077,"+",1063477,"adk","YP_004888979.1",219,"-","adenylate kinase","Purines, pyrimidines, nucleosides and nucleotides","Salvage of nucleosides and nucleotides","@Intracellular"
"320","lp_2885",-1.5142511782835,"chr","NC_004567.2",2565416,2565955,"-",1063282,"-","YP_004890485.1",179,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"200","lp_1637",-1.51039442194761,"chr","NC_004567.2",1492726,1492983,"+",1063867,"-","YP_004889462.1",85,"-","RNA binding protein","Hypothetical proteins","Conserved: putative function","@Intracellular"
"272","lp_2573",-1.50124298264611,"chr","NC_004567.2",2291119,2291337,"-",1062784,"-","YP_004890240.1",72,"-","hypothetical protein lp_2573","Hypothetical proteins","Not conserved: other","@Intracellular"
"358","lp_3245",-1.49830106154432,"chr","NC_004567.2",2891360,2892634,"+",1061843,"-","YP_004890776.1",424,"-","hypothetical protein lp_3245","Hypothetical proteins","Conserved: other","@Intracellular"
"134","lp_1010",-1.49817144614404,"chr","NC_004567.2",931038,931811,"+",1063548,"dacB","YP_004888945.1",257,"-","serine-type D-Ala-D-Ala carboxypeptidase","Cell envelope","Murein sacculus and peptidoglycan","@Lipid anchored"
"91","lp_0533",-1.49601122529048,"chr","NC_004567.2",482282,482788,"+",1061874,"-","YP_004888537.1",168,"-","transport protein, QueT family","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"130","lp_0990",-1.49300400681084,"chr","NC_004567.2",916256,916978,"-",1063650,"-","YP_004888930.1",240,"-","hypothetical protein lp_0990","Transport and binding proteins","Multidrug resistance","@Multi-transmembrane"
"44","lp_0213",-1.49294061595427,"chr","NC_004567.2",195399,195749,"-",1061416,"-","YP_004888263.1",116,"-","chromosome condensation protein","Cellular processes","Other","@Multi-transmembrane"
"329","lp_2976",-1.48181006201988,"chr","NC_004567.2",2650009,2650386,"-",1063437,"-","YP_004890552.1",125,"-","cell surface protein precursor, CscD family,LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"263","lp_2486",-1.47526194048666,"chr","NC_004567.2",2222026,2224800,"-",1062646,"-","YP_004890171.1",924,"-","mucus-binding protein, LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"191","lp_1516",-1.47427701972612,"chr","NC_004567.2",1388565,1388759,"+",1061110,"rpmI","YP_004889356.1",64,"-","50S ribosomal protein L35","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"129","lp_0984",-1.46630582921527,"chr","NC_004567.2",913141,913359,"+",1063651,"-","YP_004888927.1",72,"-","hypothetical protein lp_0984","Hypothetical proteins","Conserved: other","@Intracellular"
"41","lp_0190",-1.45650679200155,"chr","NC_004567.2",172010,172924,"-",1061441,"-","YP_004888246.1",304,"-","medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein","Hypothetical proteins","Conserved: putative function","@Intracellular"
"63","lp_0325",-1.45310652648079,"chr","NC_004567.2",297819,298172,"+",1062164,"-","YP_004888362.1",117,"-","acetoin transport repressor, GntR family","Regulatory functions","GntR-family regulators","@Intracellular"
"12","lp_0101",-1.44477811838483,"chr","NC_004567.2",90301,91122,"-",1061370,"-","YP_004888171.1",273,"-","cobalt ABC transporter permease","Transport and binding proteins","Cations","@Multi-transmembrane"
"343","lp_3074",-1.44453214073301,"chr","NC_004567.2",2735238,2735609,"-",1063608,"-","YP_004890635.1",123,"-","cell surface protein precursor, CscD family,LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"161","lp_1118",-1.44001549498797,"chr","NC_004567.2",1015132,1016775,"+",1063292,"mleS","YP_004889029.1",547,"-","malolactic protein","Energy metabolism","Organic acids","@Intracellular"
"50","lp_0239",-1.43956331448994,"chr","NC_004567.2",216517,217071,"+",1061387,"-","YP_004888284.1",184,"-","hypothetical protein lp_0239","Hypothetical proteins","Conserved: other","@Intracellular"
"199","lp_1636",-1.43877235611762,"chr","NC_004567.2",1492436,1492708,"+",1063871,"rpsP","YP_004889461.1",90,"-","30S ribosomal protein S16","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"1","lp_0009",-1.43795547681945,"chr","NC_004567.2",9860,10159,"+",1061123,"rpsF","YP_004888100.1",99,"-","30S ribosomal protein S6","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"372","lp_3324",-1.41471252389194,"chr","NC_004567.2",2958086,2959753,"-",1063983,"-","YP_004890835.1",555,"-","glycine betaine/carnitine/choline transport protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"184","lp_1435",-1.40830128161729,"chr","NC_004567.2",1312973,1315522,"-",1062430,"-","YP_004889282.1",849,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Intracellular"
"423","lp_3677",-1.37853782026563,"chr","NC_004567.2",3295024,3295365,"-",1061582,"-","YP_004891141.1",113,"-","cell surface protein precursor, CscD family,LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"193","lp_1535",-1.37212558044858,"chr","NC_004567.2",1402626,1403180,"+",1064181,"-","YP_004889373.1",184,"-","hypothetical protein lp_1535","Hypothetical proteins","Conserved: other","@Intracellular"
"113","lp_0875",-1.36501060483848,"chr","NC_004567.2",811085,811336,"-",1061868,"-","YP_004888836.1",83,"-","hypothetical protein lp_0875","Hypothetical proteins","Conserved: other","@Intracellular"
"89","lp_0530",-1.3542237104815,"chr","NC_004567.2",479246,479992,"+",1061853,"argB","YP_004888534.1",248,"-","acetylglutamate kinase","Amino acid biosynthesis","Glutamate family","@Intracellular"
"424","lp_3678",-1.35211185925704,"chr","NC_004567.2",3295385,3296446,"-",1061562,"-","YP_004891142.1",353,"-","cell surface protein precursor","Cell envelope","Cell surface proteins: other","@C-terminally anchored (with CS)"
"145","lp_1043",-1.34786849896618,"chr","NC_004567.2",957471,957665,"+",1063521,"rpmC","YP_004888966.1",64,"-","50S ribosomal protein L29","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"14","lp_0103",-1.34290751123606,"chr","NC_004567.2",92098,92763,"-",1061368,"-","YP_004888173.1",221,"-","Crp/FNR family transcriptional regulator","Regulatory functions","Crp/FNR-family regulators","@Intracellular"
"202","lp_1639",-1.34205688637269,"chr","NC_004567.2",1493668,1494408,"+",1063903,"trmD","YP_004889464.1",246,"-","tRNA (guanine-N1-)-methyltransferase","Protein synthesis","tRNA and rRNA base modification","@Intracellular"
"344","lp_3075",-1.34040665887793,"chr","NC_004567.2",2735786,2738533,"-",1063580,"-","YP_004890636.1",915,"-","cell surface protein, CscC family","Cell envelope","Cell surface proteins: other","@Intracellular"
"147","lp_1045",-1.32845601791918,"chr","NC_004567.2",958000,958368,"+",1063512,"rplN","YP_004888968.1",122,"-","50S ribosomal protein L14","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"352","lp_3175",-1.32458382756117,"chr","NC_004567.2",2833631,2834545,"-",1064034,"-","YP_004890720.1",304,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"354","lp_3191",-1.3208421581552,"chr","NC_004567.2",2844122,2844811,"-",1061952,"rrp11","YP_004890732.1",229,"-","two component system response regulator","Regulatory functions","Two-component regulators","@Intracellular"
"250","lp_2160",-1.3204407464665,"chr","NC_004567.2",1952868,1953071,"-",1063700,"-","YP_004889902.1",67,"-","hypothetical protein lp_2160","Hypothetical proteins","Conserved: other","@Intracellular"
"150","lp_1050",-1.31473213735795,"chr","NC_004567.2",959524,959919,"+",1063499,"rpsH","YP_004888972.1",131,"-","30S ribosomal protein S8","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"97","lp_0621",-1.30700250813541,"chr","NC_004567.2",589043,589546,"+",1061633,"rplJ","YP_004888615.1",167,"-","50S ribosomal protein L10","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"313","lp_2823",-1.30564387881535,"chr","NC_004567.2",2517057,2517737,"+",1063191,"-","YP_004890434.1",226,"-","ABC transporter ATP-binding protein","Transport and binding proteins","Unknown substrate","@Intracellular"
"127","lp_0965",-1.29913112644406,"chr","NC_004567.2",896845,897171,"-",1063827,"-","YP_004888912.1",108,"-","ArsR family transcriptional regulator","Regulatory functions","ArsR-family regulators","@Intracellular"
"137","lp_1033",-1.28679078443742,"chr","NC_004567.2",953265,953894,"+",1062703,"rplC","YP_004888958.1",209,"-","50S ribosomal protein L3","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"141","lp_1038",-1.27946075920876,"chr","NC_004567.2",955735,956010,"+",1062768,"rpsS","YP_004888962.1",91,"-","30S ribosomal protein S19","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"336","lp_3015",-1.2664838708835,"chr","NC_004567.2",2683134,2683796,"+",1063516,"-","YP_004890586.1",220,"-","extracellular transglycosylase, with LysM peptidoglycan binding domain","Cell envelope","Cell surface proteins: peptidoglycan-bound","@Secretory(released) (with CS)"
"148","lp_1046",-1.26050839781579,"chr","NC_004567.2",958402,958713,"+",1063510,"rplX","YP_004888969.1",103,"-","50S ribosomal protein L24","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"164","lp_1138",-1.26042265441093,"chr","NC_004567.2",1034984,1035625,"+",1063254,"acm1","YP_004889044.1",213,"-","cell wall hydrolase/muramidase","Cell envelope","Murein sacculus and peptidoglycan","@N-terminally anchored (No CS)"
"273","lp_2574",-1.25495836398768,"chr","NC_004567.2",2291337,2291966,"-",1062791,"-","YP_004890241.1",209,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"6","lp_0053",-1.24708730101619,"chr","NC_004567.2",50960,51607,"-",1061229,"-","YP_004888134.1",215,"-","fibronectin-binding protein","Cell envelope","Cell surface proteins: membrane bound","@Intracellular"
"153","lp_1053",-1.24572675281456,"chr","NC_004567.2",960906,961406,"+",1063488,"rpsE","YP_004888975.1",166,"-","30S ribosomal protein S5","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"325","lp_2954",-1.24537232827181,"chr","NC_004567.2",2629221,2630315,"-",1063410,"-","YP_004890535.1",364,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"167","lp_1175",-1.24354441983525,"chr","NC_004567.2",1072312,1073028,"+",1063169,"glpF4","YP_004889076.1",238,"-","glycerol uptake facilitator protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
"224","lp_1921",-1.24104702629911,"chr","NC_004567.2",1741289,1742683,"-",1062184,"-","YP_004889696.1",464,"-","drug resistance transport protein, major facilitator subfamily (MFS), EmrB/QacA subfamily","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"142","lp_1039",-1.24096158442455,"chr","NC_004567.2",956031,956378,"+",1061107,"rplV","YP_004888963.1",115,"-","50S ribosomal protein L22","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"144","lp_1041",-1.24064745777584,"chr","NC_004567.2",957047,957481,"+",1063522,"rplP","YP_004888965.1",144,"-","50S ribosomal protein L16","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"65","lp_0327",-1.23898381488685,"chr","NC_004567.2",299078,300091,"+",1062167,"-","YP_004888364.1",337,"-","acetoin ABC transporter, permease protein","Hypothetical proteins","Not conserved: other","@Multi-transmembrane"
"98","lp_0622",-1.23621663185081,"chr","NC_004567.2",589608,589976,"+",1061624,"rplL","YP_004888616.1",122,"-","50S ribosomal protein L12/L7","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"422","lp_3676",-1.2287399196952,"chr","NC_004567.2",3293466,3295004,"-",1061567,"-","YP_004891140.1",512,"-","cell surface protein precursor, CscC family","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"154","lp_1054",-1.22785179688034,"chr","NC_004567.2",961421,961603,"+",1063487,"rpmD","YP_004888976.1",60,"-","50S ribosomal protein L30","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"330","lp_2977",-1.22737236082746,"chr","NC_004567.2",2650468,2651511,"-",1063457,"-","YP_004890553.1",347,"-","cell surface protein precursor","Cell envelope","Cell surface proteins: other","@LPxTG Cell-wall anchored"
"195","lp_1580",-1.22363080352865,"chr","NC_004567.2",1443123,1443503,"+",1063409,"glnR","YP_004889411.1",126,"-","glutamine synthetase repressor, MerR family","Regulatory functions","MerR-family regulators","@Intracellular"
"140","lp_1036",-1.22293621351401,"chr","NC_004567.2",954853,955692,"+",1062631,"rplB","YP_004888961.1",279,"-","50S ribosomal protein L2","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"363","lp_3280",-1.2226102628002,"chr","NC_004567.2",2920943,2921887,"-",1061809,"czcD1","YP_004890802.1",314,"-","cation (cobalt-zinc-cadmium) efflux protein","Transport and binding proteins","Cations","@Multi-transmembrane"
"139","lp_1035",-1.21268230568975,"chr","NC_004567.2",954536,954829,"+",1062656,"rplW","YP_004888960.1",97,"-","50S ribosomal protein L23","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"192","lp_1517",-1.20943135217405,"chr","NC_004567.2",1388796,1389152,"+",1064215,"rplT","YP_004889357.1",118,"-","50S ribosomal protein L20","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"143","lp_1040",-1.20829645148458,"chr","NC_004567.2",956391,957044,"+",1063523,"rpsC","YP_004888964.1",217,"-","30S ribosomal protein S3","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"243","lp_2125",-1.20500089258738,"chr","NC_004567.2",1919366,1919635,"-",1063870,"rpsO","YP_004889873.1",89,"-","30S ribosomal protein S15","Protein synthesis","Ribosomal proteins: synthesis","@Intracellular"
"128","lp_0969",-1.20156093830432,"chr","NC_004567.2",900921,901685,"+",1063789,"-","YP_004888916.1",254,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
