#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_004567.2	77561	78235	-	1061261	-	lp_0081	YP_004888159.1	224	-	ThiJ/PfpI family protein, Type 1 glutamine amidotransferase (GATase1)-like domain
chr	NC_004567.2	78281	79285	-	1061260	-	lp_0082	YP_004888160.1	334	-	medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein
chr	NC_004567.2	79452	79775	+	1061113	-	lp_0083	YP_004888161.1	107	-	ArsR family transcriptional regulator
chr	NC_004567.2	79946	81280	-	1061114	-	lp_0085	YP_004888162.1	444	-	multidrug extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps
chr	NC_004567.2	82652	83515	+	1064136	pepI	lp_0088	YP_004888163.1	287	-	prolyl aminopeptidase
chr	NC_004567.2	83697	84443	-	1061381	-	lp_0089	YP_004888164.1	248	-	hypothetical protein lp_0089
chr	NC_004567.2	84613	85047	+	1061380	-	lp_0091	YP_004888165.1	144	-	pyridoxamine 5\'-phosphate oxidase family protein, FMN-binding
chr	NC_004567.2	85149	86792	-	1061379	-	lp_0092	YP_004888166.1	547	-	oligopeptide ABC transporter,lipoprotein-binding protein
chr	NC_004567.2	87460	88209	+	1061377	-	lp_0096	YP_004888167.1	249	-	hypothetical protein lp_0096
chr	NC_004567.2	88467	89246	+	1061376	-	lp_0098	YP_004888168.1	259	-	adenylyl transferase
chr	NC_004567.2	89314	89547	-	1061375	-	lp_0099	YP_004888169.1	77	-	hypothetical protein lp_0099
chr	NC_004567.2	89568	90293	-	1061374	-	lp_0100	YP_004888170.1	241	-	cobalt ABC transporter ATP-binding protein
chr	NC_004567.2	90301	91122	-	1061370	-	lp_0101	YP_004888171.1	273	-	cobalt ABC transporter permease
chr	NC_004567.2	91097	92083	-	1061372	cbiM	lp_0102	YP_004888172.1	328	-	cobalt ABC transporter, substrate-binding protein
chr	NC_004567.2	92098	92763	-	1061368	-	lp_0103	YP_004888173.1	221	-	Crp/FNR family transcriptional regulator
chr	NC_004567.2	93016	94290	+	1061369	larA	lp_0104	YP_004888174.1	424	-	lactate racemization operon protein LarA
chr	NC_004567.2	94292	95032	+	1061366	larB	lp_0105	YP_004888175.1	246	-	lactate racemization operon protein LarB
chr	NC_004567.2	95063	95854	+	1061367	larC1	lp_0106	YP_004888176.1	263	-	lactate racemization operon protein LarC,N-terminal domain
chr	NC_004567.2	95893	96324	+	1061364	larC2	lp_0107	YP_004888177.1	143	-	lactate racemization operon protein LarC,C-terminal domain
chr	NC_004567.2	96329	97045	+	1061363	glpF1	lp_0108	YP_004888178.1	238	-	glycerol uptake facilitator protein
chr	NC_004567.2	97070	97900	+	1061362	larE	lp_0109	YP_004888179.1	276	-	lactate racemization operon protein LarE
chr	NC_004567.2	98100	99077	-	1061360	-	lp_0111	YP_004888180.1	325	-	medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein
chr	NC_004567.2	99433	100224	+	1061358	thiM	lp_0113	YP_004888181.1	263	-	hydroxyethylthiazole kinase
chr	NC_004567.2	100250	101074	+	1061357	thiD	lp_0114	YP_004888182.1	274	-	phosphomethylpyrimidine kinase & hydroxymethylpyrimidine kinase
chr	NC_004567.2	101064	101717	+	1061356	thiE	lp_0115	YP_004888183.1	217	-	thiamine-phosphate pyrophosphorylase
chr	NC_004567.2	101717	102916	+	1061355	thiP	lp_0116	YP_004888184.1	399	-	hydroxymethylpyrimidine permease
chr	NC_004567.2	102998	103738	+	1061354	-	lp_0117	YP_004888185.1	246	-	glutamine amidotransferase
chr	NC_004567.2	103981	105573	+	1061353	-	lp_0118	YP_004888186.1	530	-	DNA-binding protein with HIRAN domain
chr	NC_004567.2	105689	106159	-	1061351	-	lp_0119	YP_004888187.1	156	-	NTP pyrophosphohydrolase
chr	NC_004567.2	106392	107756	+	1061349	-	lp_0120	YP_004888188.1	454	-	amino acid/polyamine transport protein, APC family
chr	NC_004567.2	107856	108563	+	1061348	-	lp_0121	YP_004888189.1	235	-	hypothetical protein lp_0121
chr	NC_004567.2	108588	109370	+	1061347	-	lp_0122	YP_004888190.1	260	-	alpha-beta hydrolase superfamily
chr	NC_004567.2	109566	112304	-	1061346	pacL1	lp_0124	YP_004888191.1	912	-	cation transporting P-type ATPase
chr	NC_004567.2	112589	113347	+	1061345	-	lp_0125	YP_004888192.1	252	-	purine nucleoside phosphorylase
chr	NC_004567.2	113390	113584	-	1061343	-	lp_0126	YP_004888193.1	64	-	stress-responsive transcription regulator
chr	NC_004567.2	113650	114252	-	1061342	-	lp_0127	YP_004888194.1	200	-	NADPH-dependent FMN reductase family protein
chr	NC_004567.2	114365	114838	+	1061341	-	lp_0128	YP_004888195.1	157	-	MarR family transcriptional regulator
chr	NC_004567.2	114984	115406	+	1061340	hsp1	lp_0129	YP_004888196.1	140	-	small heat shock protein
chr	NC_004567.2	115494	115949	-	1061339	-	lp_0130	YP_004888197.1	151	-	two-component system sensor protein
chr	NC_004567.2	115946	116452	-	1061338	-	lp_0131	YP_004888198.1	168	-	two-component system response regulator
chr	NC_004567.2	116619	117851	+	1061337	-	lp_0132	YP_004888199.1	410	-	multidrug-efflux transporter, major facilitator superfamily (MFS)
chr	NC_004567.2	117876	118241	+	1061335	-	lp_0133	YP_004888200.1	121	-	ArsR family transcriptional regulator
chr	NC_004567.2	118306	119499	+	1061336	-	lp_0134	YP_004888201.1	397	-	transport protein, major facilitator superfamily (MFS)
chr	NC_004567.2	119743	120591	+	1061333	-	lp_0136	YP_004888202.1	282	-	2,5 diketo-D-gluconic acid-like reductase,NADP dependent, promiscuous
chr	NC_004567.2	120668	121540	+	1061331	-	lp_0137	YP_004888203.1	290	-	aldo/keto reductase family protein
chr	NC_004567.2	121661	122116	+	1061330	-	lp_0138	YP_004888204.1	151	-	nucleoside 2-deoxyribosyltransferase
chr	NC_004567.2	122436	124130	+	1061329	lai	lp_0139	YP_004888205.1	564	-	linoleic acid isomerase
chr	NC_004567.2	124302	125114	-	1061328	-	lp_0141	YP_004888206.1	270	-	extracellular protein
chr	NC_004567.2	125380	126897	+	1061324	-	lp_0145	YP_004888207.1	505	-	hypothetical protein lp_0145
chr	NC_004567.2	126966	128075	-	1061322	-	lp_0146	YP_004888208.1	369	-	NADH:flavin oxidoreductase
chr	NC_004567.2	128326	129165	-	1061321	-	lp_0148	YP_004888209.1	279	-	cobalt (or cobalamine) ABC transporter,permease protein
chr	NC_004567.2	129167	130867	-	1061320	-	lp_0149	YP_004888210.1	566	-	cobalt (or cobalamine) ABC transporter ATP-binding protein
chr	NC_004567.2	130872	131432	-	1061319	-	lp_0150	YP_004888211.1	186	-	cobalt (or cobalamine) ABC transporter,accessory protein
chr	NC_004567.2	132040	132756	+	1061317	-	lp_0152	YP_004888212.1	238	-	GntR family transcriptional regulator
chr	NC_004567.2	132901	133230	+	1061316	-	lp_0154	YP_004888213.1	109	-	PadR family transcriptional regulator
chr	NC_004567.2	133259	134044	+	1061315	-	lp_0155	YP_004888214.1	261	-	hypothetical protein lp_0155
chr	NC_004567.2	134069	134881	+	1061314	-	lp_0156	YP_004888215.1	270	-	hypothetical protein lp_0156
chr	NC_004567.2	135213	135704	+	1061313	-	lp_0158	YP_004888216.1	163	-	hypothetical protein lp_0158
chr	NC_004567.2	135873	136667	+	1061312	-	lp_0159	YP_004888217.1	264	-	short-chain dehydrogenase
chr	NC_004567.2	136930	137847	+	1061311	-	lp_0160	YP_004888218.1	305	-	ABC transporter ATP-binding protein
chr	NC_004567.2	137853	139469	+	1061310	-	lp_0161	YP_004888219.1	538	-	ABC transporter permease
chr	NC_004567.2	139488	140150	+	1061309	-	lp_0162	YP_004888220.1	220	-	TetR family transcriptional regulator
chr	NC_004567.2	140318	141859	+	1061305	-	lp_0163	YP_004888221.1	513	-	acyl-CoA dehydrogenase
chr	NC_004567.2	142032	142544	-	1061304	-	lp_0164	YP_004888222.1	170	-	membrane protein
chr	NC_004567.2	142774	143292	+	1061303	-	lp_0165	YP_004888223.1	172	-	TetR family transcriptional regulator
chr	NC_004567.2	143289	144278	-	1061302	dak1A	lp_0166	YP_004888224.1	329	-	dihydroxyacetone phosphotransferase,dihydroxyacetone binding sub-unit
chr	NC_004567.2	144440	145438	+	1061299	dak1B	lp_0168	YP_004888225.1	332	-	dihydroxyacetone phosphotransferase,dihydroxyacetone binding subunit
chr	NC_004567.2	145452	146033	+	1061298	dak2	lp_0169	YP_004888226.1	193	-	dihydroxyacetone phosphotransferase,ADP-binding subunit
chr	NC_004567.2	146030	146398	+	1061297	dak3	lp_0170	YP_004888227.1	122	-	dihydroxyacetone phosphotransferase, phosphoryl donor protein
chr	NC_004567.2	146413	147120	+	1061296	dhaP	lp_0171	YP_004888228.1	235	-	dihydroxyacetone transport protein
chr	NC_004567.2	147271	148290	+	1061295	-	lp_0172	YP_004888229.1	339	-	LacI family transcriptional regulator,maltose-related
chr	NC_004567.2	148314	149276	+	1061465	-	lp_0173	YP_004888230.1	320	-	LacI family transcriptional regulator
chr	NC_004567.2	149293	150966	+	1061464	malA1	lp_0174	YP_004888231.1	557	-	maltase/sucrase
chr	NC_004567.2	151222	152475	+	1061463	mdxE	lp_0175	YP_004888232.1	417	-	maltodextrin ABC transporter, substrate binding protein
chr	NC_004567.2	152585	153874	+	1061462	mdxF	lp_0176	YP_004888233.1	429	-	maltodextrin ABC transporter, permease protein
chr	NC_004567.2	153879	154763	+	1061461	mdxG	lp_0177	YP_004888234.1	294	-	maltodextrin ABC transporter, permease protein
chr	NC_004567.2	154791	155621	+	1061460	-	lp_0178	YP_004888235.1	276	-	maltodextrin ABC transporter, accessory protein
chr	NC_004567.2	155655	156977	+	1061459	malS	lp_0179	YP_004888236.1	440	-	alpha-amylase, maltodextrins and cyclomaltodextrins
chr	NC_004567.2	157079	158185	+	1061458	msmX	lp_0180	YP_004888237.1	368	-	maltodextrin ABC transporter, ATP-binding protein
chr	NC_004567.2	158212	160482	+	1061457	mapB	lp_0181	YP_004888238.1	756	-	maltose phosphorylase
chr	NC_004567.2	160696	163542	-	1061453	-	lp_0182	YP_004888239.1	948	-	endo-beta-N-acetylglucosaminidase
chr	NC_004567.2	164129	164401	+	1061451	-	lp_0183	YP_004888240.1	90	-	membrane protein
chr	NC_004567.2	164479	165345	-	1061449	sacK1	lp_0184	YP_004888241.1	288	-	fructokinase
chr	NC_004567.2	165479	167434	-	1061447	pts1BCA	lp_0185	YP_004888242.1	651	-	PTS system, oligosucrose-specific EIIBCA component
chr	NC_004567.2	167690	169195	+	1061446	scrB	lp_0187	YP_004888243.1	501	-	sucrose-6-phosphate hydrolase
chr	NC_004567.2	169176	170156	+	1061444	scrR	lp_0188	YP_004888244.1	326	-	oligosucrose operon repressor
chr	NC_004567.2	170177	171853	+	1061442	-	lp_0189	YP_004888245.1	558	-	raffinose-6-phosphate hydrolase & stachyose-6-phosphate hydrolase
chr	NC_004567.2	172010	172924	-	1061441	-	lp_0190	YP_004888246.1	304	-	medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein
chr	NC_004567.2	173145	174545	-	1061439	nha1	lp_0192	YP_004888247.1	466	-	tyrosine-related transport protein, NHAC family
chr	NC_004567.2	175091	176764	+	1061438	-	lp_0193	YP_004888248.1	557	-	exo alfa-1,4-glucosidase or trehalase
chr	NC_004567.2	176964	177878	-	1061437	-	lp_0194	YP_004888249.1	304	-	LysR family transcriptional regulator
chr	NC_004567.2	178865	181885	+	1061436	-	lp_0197	YP_004888250.1	1006	-	cell surface protein precursor, LPXTG-motif cell wall anchor
chr	NC_004567.2	182176	183018	-	1061435	-	lp_0199	YP_004888251.1	280	-	Xre family transcriptional regulator
chr	NC_004567.2	183206	184867	-	1061432	-	lp_0200	YP_004888252.1	553	-	ABC transporter substrate-binding protein
chr	NC_004567.2	185073	186734	-	1061429	-	lp_0201	YP_004888253.1	553	-	ABC transporter substrate-binding protein
chr	NC_004567.2	186887	187330	-	1061428	-	lp_0202	YP_004888254.1	147	-	GNAT family acetyltransferase
chr	NC_004567.2	187327	188505	-	1061427	serA	lp_0203	YP_004888255.1	392	-	D-3-phosphoglycerate dehydrogenase
chr	NC_004567.2	188521	189594	-	1061425	serC	lp_0204	YP_004888256.1	357	-	phosphoserine aminotransferase
chr	NC_004567.2	189978	190601	+	1061424	pgm1	lp_0205	YP_004888257.1	207	-	phosphoglycerate mutase family protein
chr	NC_004567.2	190862	191653	+	1061423	-	lp_0206	YP_004888258.1	263	-	oxidoreductase, aldo/keto reductase family
chr	NC_004567.2	192154	192375	+	1061422	-	lp_0207	YP_004888259.1	73	-	hypothetical protein lp_0207
chr	NC_004567.2	192378	192728	-	1061421	-	lp_0208	YP_004888260.1	116	-	hypothetical protein lp_0208
chr	NC_004567.2	192715	193587	-	1061419	-	lp_0209	YP_004888261.1	290	-	RNA-binding protein
chr	NC_004567.2	193763	194950	+	1061418	ack1	lp_0210	YP_004888262.1	395	-	acetate kinase
chr	NC_004567.2	195399	195749	-	1061416	-	lp_0213	YP_004888263.1	116	-	chromosome condensation protein
chr	NC_004567.2	195749	196132	-	1061414	-	lp_0214	YP_004888264.1	127	-	chromosome condensation protein
chr	NC_004567.2	196433	197953	+	1061413	-	lp_0215	YP_004888265.1	506	-	ABC transporter ATP-binding protein
chr	NC_004567.2	198163	199815	+	1061412	ISP2_1	lp_0216	YP_004888266.1	550	-	transposase
chr	NC_004567.2	199844	200503	-	1061411	-	lp_0217	YP_004888267.1	219	-	ABC transporter permease
chr	NC_004567.2	200500	201906	-	1061410	-	lp_0218	YP_004888268.1	468	-	ABC transporter ATP-binding protein
chr	NC_004567.2	201935	202504	-	1061408	-	lp_0219	YP_004888269.1	189	-	ABC transporter permease
chr	NC_004567.2	202845	203330	+	1061406	gpo	lp_0220	YP_004888270.1	161	-	glutathione peroxidase
chr	NC_004567.2	203381	204211	+	1061405	-	lp_0221	YP_004888271.1	276	-	2,5 diketo-D-gluconic acid-like reductase,NADP dependent (promiscuous)
chr	NC_004567.2	204715	205185	-	1061403	greA1	lp_0223	YP_004888272.1	156	-	transcription elongation factor GreA
chr	NC_004567.2	205271	205684	-	1061402	-	lp_0224	YP_004888273.1	137	-	membrane protein
chr	NC_004567.2	205697	205900	-	1061401	-	lp_0225	YP_004888274.1	67	-	Cro/CI family transcriptional regulator
chr	NC_004567.2	206280	206993	+	1061399	nagB	lp_0226	YP_004888275.1	237	-	glucosamine-6-phosphate isomerase/deaminase
chr	NC_004567.2	207136	208551	-	1061398	pepD1	lp_0228	YP_004888276.1	471	-	dipeptidase
chr	NC_004567.2	208913	210751	+	1061397	pts2CB	lp_0230	YP_004888277.1	612	-	PTS system, mannitol-specific EIICB component
chr	NC_004567.2	210788	212863	+	1061396	mtlR	lp_0231	YP_004888278.1	691	-	BglG family transcriptional regulator
chr	NC_004567.2	212878	213327	+	1061394	pts2A	lp_0232	YP_004888279.1	149	-	PTS system, mannitol-specific EIIA component
chr	NC_004567.2	213329	214486	+	1061392	mtlD	lp_0233	YP_004888280.1	385	-	mannitol-1-phosphate 5-dehydrogenase
chr	NC_004567.2	214742	215293	-	1061390	-	lp_0235	YP_004888281.1	183	-	hypothetical protein lp_0235
chr	NC_004567.2	215474	215806	+	1061389	trxA1	lp_0236	YP_004888282.1	110	-	thioredoxin
chr	NC_004567.2	215900	216226	-	1061388	-	lp_0237	YP_004888283.1	108	-	membrane protein
chr	NC_004567.2	216517	217071	+	1061387	-	lp_0239	YP_004888284.1	184	-	hypothetical protein lp_0239
chr	NC_004567.2	217136	217537	-	1061386	-	lp_0240	YP_004888285.1	133	-	hypothetical protein lp_0240
chr	NC_004567.2	217779	218243	-	1061385	ndk	lp_0242	YP_004888286.1	154	-	nucleoside-diphosphate kinase
chr	NC_004567.2	218478	219824	+	1061383	-	lp_0243	YP_004888287.1	448	-	hypothetical protein lp_0243
chr	NC_004567.2	220124	220672	+	1061218	-	lp_0244	YP_004888288.1	182	-	NADPH-dependent FMN reductase family protein
chr	NC_004567.2	220941	221636	+	1061217	-	lp_0245	YP_004888289.1	231	-	GntR family transcriptional regulator
chr	NC_004567.2	222214	223491	+	1061216	pts3C	lp_0247	YP_004888290.1	425	-	PTS system, cellobiose-specific EIIC component
chr	NC_004567.2	223501	223767	+	1061213	-	lp_0248	YP_004888291.1	88	-	hypothetical protein lp_0248
chr	NC_004567.2	223764	224858	+	1061212	-	lp_0249	YP_004888292.1	364	-	PTS-associated protein
chr	NC_004567.2	224851	225969	+	1061211	-	lp_0250	YP_004888293.1	372	-	metallo-dependent hydrolase, subgroup B
chr	NC_004567.2	226039	227139	+	1061210	-	lp_0251	YP_004888294.1	366	-	L-seryl-tRNA(Sec) selenium transferase-related protein, pyridoxal phosphate-dependent
chr	NC_004567.2	227130	227864	+	1061209	-	lp_0252	YP_004888295.1	244	-	hypothetical protein lp_0252
chr	NC_004567.2	227878	228900	+	1061208	kdgK	lp_0253	YP_004888296.1	340	-	2-keto-3-deoxygluconate kinase
chr	NC_004567.2	229064	229606	-	1061204	cysE	lp_0254	YP_004888297.1	180	-	serine O-acetyltransferase
chr	NC_004567.2	229611	230756	-	1061203	cblB	lp_0255	YP_004888298.1	381	-	cystathionine beta-lyase / cystathionine gamma-lyase
chr	NC_004567.2	230768	231679	-	1061202	cbs	lp_0256	YP_004888299.1	303	-	cystathionine beta-synthase
chr	NC_004567.2	232292	233083	-	1061200	pepM	lp_0257	YP_004888300.1	263	-	methionyl aminopeptidase
chr	NC_004567.2	233445	234233	+	1061197	pnuC1	lp_0259	YP_004888301.1	262	-	nicotinamide mononucleotide transporter
chr	NC_004567.2	234432	234710	+	1061194	-	lp_0260	YP_004888302.1	92	-	hypothetical protein lp_0260
chr	NC_004567.2	234703	234990	+	1061191	-	lp_0261	YP_004888303.1	95	-	membrane protein
chr	NC_004567.2	235306	236025	+	1061190	treR	lp_0262	YP_004888304.1	239	-	trehalose operon transcriptional repressor,GntR family
chr	NC_004567.2	236050	237693	+	1061188	treA	lp_0263	YP_004888305.1	547	-	trehalose-6-phosphate hydrolase
chr	NC_004567.2	237710	239707	+	1061187	pts4ABC	lp_0264	YP_004888306.1	665	-	PTS system trehalose-specific transporter subunit IIBC
chr	NC_004567.2	239936	241897	+	1061186	pts5ABC	lp_0265	YP_004888307.1	653	-	PTS system trehalose-specific transporter subunit IIBC
chr	NC_004567.2	241939	242721	-	1061184	-	lp_0266	YP_004888308.1	260	-	hypothetical protein lp_0266
chr	NC_004567.2	243093	243497	+	1061183	tagD1	lp_0267	YP_004888309.1	134	-	glycerol-3-phosphate cytidylyltransferase
chr	NC_004567.2	243522	244730	+	1061182	tagF1	lp_0268	YP_004888310.1	402	-	CDP-glycerol glycerophosphotransferase
chr	NC_004567.2	244783	247602	+	1061181	tagF2	lp_0269	YP_004888311.1	939	-	CDP-glycerol glycerophosphotransferase / glycosyltransferase
chr	NC_004567.2	247890	248453	+	1061178	-	lp_0271	YP_004888312.1	187	-	aromatic acid carboxylyase, subunit B
chr	NC_004567.2	248456	248866	+	1061175	-	lp_0272	YP_004888313.1	136	-	aromatic acid carboxylyase, subunit D
chr	NC_004567.2	249157	249597	-	1061174	-	lp_0273	YP_004888314.1	146	-	Rrf2 family transcriptional regulator
chr	NC_004567.2	249782	250471	+	1061172	-	lp_0274	YP_004888315.1	229	-	TetR family transcriptional regulator
chr	NC_004567.2	250642	252036	+	1061171	mntH1	lp_0275	YP_004888316.1	464	-	manganese transport protein MntH, Nramp superfamily
chr	NC_004567.2	252168	252815	-	1061170	-	lp_0276	YP_004888317.1	215	-	hypothetical protein lp_0276
chr	NC_004567.2	252871	253176	-	1061169	-	lp_0277	YP_004888318.1	101	-	extracellular protein
