"","gene","sign_pVal.logFC","X.Replicon.Name","Replicon.Accession","Start","Stop","Strand","GeneID","Locus","Protein.product","Length","COG.s.","Protein.name","class","subclass","LocateP.Subcellular.Localization.Prediction"
"52","lp_0982",-2.40239343704174,"chr","NC_004567.2",912109,912810,"-",1063671,"brnF","YP_004888926.1",233,"-","branched-chain amino acid transport protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"133","lp_2749",-2.26695817853059,"chr","NC_004567.2",2445162,2445488,"+",1063070,"-","YP_004890376.1",108,"-","hypothetical protein lp_2749","Hypothetical proteins","Not conserved: other","@Intracellular"
"143","lp_2923",-2.24798845570883,"chr","NC_004567.2",2602345,2603175,"-",1063342,"-","YP_004890513.1",276,"-","lipase/esterase","Hypothetical proteins","Conserved: putative function","@Intracellular"
"89","lp_1785",-2.22281279795801,"chr","NC_004567.2",1618380,1618979,"+",1064081,"pgm5","YP_004889586.1",199,"-","phosphoglycerate mutase family protein","Energy metabolism","Glycolysis","@Intracellular"
"46","lp_0934",-2.12077863238987,"chr","NC_004567.2",864045,864377,"+",1064029,"-","YP_004888885.1",110,"-","PTS system transporter subunit IIA","Hypothetical proteins","Conserved: other","@Intracellular"
"155","lp_3081",-2.064932022672,"chr","NC_004567.2",2741927,2742289,"-",1063645,"-","YP_004890641.1",120,"-","MarR family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"135","lp_2795",-2.03701522604789,"chr","NC_004567.2",2485125,2488244,"-",1063145,"-","YP_004890414.1",1039,"-","cell surface protein precursor, LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"142","lp_2917",-1.9966823231905,"chr","NC_004567.2",2594405,2595619,"-",1063336,"-","YP_004890507.1",404,"-","transport protein, major facilitator superfamily (MFS)","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"34","lp_0583",-1.9882183076497,"chr","NC_004567.2",556435,556818,"+",1061541,"-","YP_004888582.1",127,"-","hypothetical protein lp_0583","Hypothetical proteins","Conserved: other","@Intracellular"
"171","lp_3283",-1.98715914473797,"chr","NC_004567.2",2923724,2924842,"+",1061840,"-","YP_004890804.1",372,"-","methonine synthase (cobalamine-independent),C-terminal domain","Amino acid biosynthesis","Aspartate family","@Intracellular"
"123","lp_2564",-1.97452963557411,"chr","NC_004567.2",2283903,2285066,"+",1062760,"-","YP_004890232.1",387,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"44","lp_0931",-1.94161629030471,"chr","NC_004567.2",861713,862543,"+",1064032,"-","YP_004888883.1",276,"-","fumarylacetoacetate hydrolase family protein","Energy metabolism","Phenolic acids","@Intracellular"
"10","lp_0156",-1.90900854591408,"chr","NC_004567.2",134069,134881,"+",1061314,"-","YP_004888215.1",270,"-","hypothetical protein lp_0156","Hypothetical proteins","Not conserved: other","@Multi-transmembrane"
"140","lp_2885",-1.86139904840155,"chr","NC_004567.2",2565416,2565955,"-",1063282,"-","YP_004890485.1",179,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"4","lp_0098",-1.70797689725296,"chr","NC_004567.2",88467,89246,"+",1061376,"-","YP_004888168.1",259,"-","adenylyl transferase","Hypothetical proteins","Conserved: putative function","@Intracellular"
"165","lp_3214",-1.67988238963875,"chr","NC_004567.2",2862968,2863783,"+",1061976,"-","YP_004890750.1",271,"-","cystathionine ABC transporter, substrate binding protein","Transport and binding proteins","Amino acids, peptides and amines","@Lipid anchored"
"168","lp_3237",-1.67898644445167,"chr","NC_004567.2",2884581,2885405,"-",1061445,"-","YP_004890769.1",274,"-","hydrolase, HAD superfamily, Cof family","Hypothetical proteins","Conserved: putative function","@Intracellular"
"47","lp_0935",-1.64511599994501,"chr","NC_004567.2",864484,865056,"+",1064027,"-","YP_004888886.1",190,"-","hypothetical protein lp_0935","Hypothetical proteins","Not conserved: other","@Intracellular"
"158","lp_3091",-1.62117447488049,"chr","NC_004567.2",2750380,2751294,"+",1063634,"-","YP_004890649.1",304,"-","short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 1","Hypothetical proteins","Conserved: other","@Intracellular"
"40","lp_0874",-1.56686792229682,"chr","NC_004567.2",809220,810851,"+",1061514,"-","YP_004888835.1",543,"-","bifunctional protein: aminotransferase (pyridoxal-phosphate-dependent); 2-hydroxyacid dehydrogenase","Energy metabolism","Amino acids and amines","@Intracellular"
"98","lp_1887",-1.52427131556277,"chr","NC_004567.2",1705193,1705777,"-",1061641,"-","YP_004889668.1",194,"-","riboflavin transporter","Transport and binding proteins","Other","@Multi-transmembrane"
"2","lp_0075",-1.49819249685337,"chr","NC_004567.2",72330,72977,"+",1061266,"azoR1","YP_004888154.1",215,"-","FMN-dependent NADH-azoreductase","Energy metabolism","Electron transport","@Intracellular"
"16","lp_0215",-1.48705529412313,"chr","NC_004567.2",196433,197953,"+",1061413,"-","YP_004888265.1",506,"-","ABC transporter ATP-binding protein","Transport and binding proteins","Unknown substrate","@Intracellular"
"163","lp_3178",-1.47889644104222,"chr","NC_004567.2",2836380,2836934,"+",1064025,"-","YP_004890723.1",184,"-","extracellular protein","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"45","lp_0932",-1.47706198864717,"chr","NC_004567.2",862674,863684,"+",1064037,"-","YP_004888884.1",336,"-","extracellular lipoprotein precursor","Cell envelope","Cell surface proteins: lipoproteins","@Lipid anchored"
"174","lp_3392",-1.47281122728327,"chr","NC_004567.2",3007513,3008736,"+",1063791,"-","YP_004890891.1",407,"-","transport protein, major facilitator superfamily (MFS)","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"101","lp_1925",-1.45033604233964,"chr","NC_004567.2",1744634,1746325,"-",1064087,"nox3","YP_004889699.1",563,"-","NADH oxidase","Energy metabolism","Aerobic","@Intracellular"
"97","lp_1825",-1.44238134749329,"chr","NC_004567.2",1651897,1653423,"+",1062910,"-","YP_004889621.1",508,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"116","lp_2396",-1.43047767266888,"chr","NC_004567.2",2161115,2161507,"-",1062443,"-","YP_004890090.1",130,"-","extracellular protein","Cell envelope","Cell surface proteins: membrane bound","@N-terminally anchored (No CS)"
"64","lp_1445",-1.41985188899147,"chr","NC_004567.2",1321110,1322426,"+",1062405,"npr1","YP_004889290.1",438,"-","NADH peroxidase","Cellular processes","Detoxification","@Intracellular"
"164","lp_3179",-1.41802533926744,"chr","NC_004567.2",2836986,2837420,"+",1064012,"-","YP_004890724.1",144,"-","hypothetical protein lp_3179","Hypothetical proteins","Conserved: other","@Intracellular"
"145","lp_2981",-1.40877102115299,"chr","NC_004567.2",2653650,2654354,"-",1063450,"livE","YP_004890557.1",234,"-","branched-chain amino acid ABC transporter ATP-binding protein","Transport and binding proteins","Amino acids, peptides and amines","@Intracellular"
"125","lp_2601",-1.40855710034548,"chr","NC_004567.2",2320993,2321763,"-",1062833,"-","YP_004890262.1",256,"-","hydrolase, HAD superfamily, Cof family","Hypothetical proteins","Conserved: putative function","@Intracellular"
"151","lp_3020",-1.40583668440597,"chr","NC_004567.2",2686704,2687348,"+",1063528,"tag2","YP_004890591.1",214,"-","DNA-3-methyladenine glycosylase I","DNA metabolism","DNA replication recombination, and repair","@Intracellular"
"28","lp_0353",-1.40246597499671,"chr","NC_004567.2",321922,322485,"-",1062191,"zmp1","YP_004888385.1",187,"-","extracellular zinc metalloproteinase, M10 family","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"88","lp_1708",-1.3498792153768,"chr","NC_004567.2",1550623,1550844,"-",1061713,"-","YP_004889523.1",73,"-","hypothetical protein lp_1708","Hypothetical proteins","Conserved: other","@Intracellular"
"42","lp_0894",-1.34883668120722,"chr","NC_004567.2",823824,824585,"-",1062985,"-","YP_004888850.1",253,"-","anion exporter, TauE/SafE family","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"54","lp_1095",-1.33323711999283,"chr","NC_004567.2",996225,996962,"+",1063356,"mtsC","YP_004889012.1",245,"-","manganese ABC transporter, ATP-binding protein","Transport and binding proteins","Cations","@Intracellular"
"26","lp_0348",-1.3290232820002,"chr","NC_004567.2",316774,318219,"+",1062179,"-","YP_004888381.1",481,"-","multidrug-efflux transporter, major facilitator superfamily (MFS), EmrB family","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"113","lp_2107",-1.30011994960097,"chr","NC_004567.2",1901581,1902288,"-",1064041,"cps4B","YP_004889857.1",235,"-","polysaccharide biosynthesis protein","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"50","lp_0965",-1.27763432277938,"chr","NC_004567.2",896845,897171,"-",1063827,"-","YP_004888912.1",108,"-","ArsR family transcriptional regulator","Regulatory functions","ArsR-family regulators","@Intracellular"
"188","lp_3580",-1.24909226841731,"chr","NC_004567.2",3196308,3197051,"-",1062045,"lamA","YP_004891056.1",247,"-","two-component system response regulator; accesory gene regulator protein A","Regulatory functions","Two-component regulators","@Intracellular"
"186","lp_3572",-1.24767338968444,"chr","NC_004567.2",3190178,3191383,"-",1062004,"-","YP_004891048.1",401,"-","FAD-dependent pyridine nucleotide-disulfide oxidoreductase","Hypothetical proteins","Conserved: putative function","@Intracellular"
"108","lp_2062",-1.24645518877843,"chr","NC_004567.2",1863376,1863615,"-",1061894,"-","YP_004889820.1",79,"-","hypothetical protein lp_2062","Hypothetical proteins","Conserved: other","@Intracellular"
"57","lp_1253",-1.2436474065825,"chr","NC_004567.2",1137086,1138408,"-",1062967,"gshR2","YP_004889147.1",440,"-","glutathione reductase","Biosynthesis of cofactors, prosthetic groups, and carriers","Glutathione, thioredoxin, and glutaredoxin","@Intracellular"
"162","lp_3177",-1.21153044891718,"chr","NC_004567.2",2836009,2836371,"+",1063993,"-","YP_004890722.1",120,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"39","lp_0835",-1.21117529763121,"chr","NC_004567.2",774111,774893,"+",1064026,"-","YP_004888804.1",260,"-","hypothetical protein lp_0835","Hypothetical proteins","Not conserved: other","@Multi-transmembrane"
"87","lp_1697",-1.18481345947206,"chr","NC_004567.2",1544898,1545503,"+",1062217,"-","YP_004889513.1",201,"-","adherence protein, chitin-binding domain","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"167","lp_3221",-1.18236956131656,"chr","NC_004567.2",2870482,2871483,"-",1061864,"-","YP_004890757.1",333,"-","LacI family transcriptional regulator","Regulatory functions","LacI-family regulators","@Intracellular"
"138","lp_2872",-1.17327145412473,"chr","NC_004567.2",2557662,2558258,"-",1063262,"-","YP_004890475.1",198,"-","NAD(P)-dependent oxidoreductase, atypical SDR family, subgroup 6","Energy metabolism","Aerobic","@Intracellular"
"36","lp_0787",-1.15299471094495,"chr","NC_004567.2",722326,723663,"+",1063796,"rpoN","YP_004888761.1",445,"-","DNA-directed RNA polymerase, sigma factor 54","Transcription","Transcription factors","@Intracellular"
"185","lp_3571",-1.14905046070168,"chr","NC_004567.2",3189353,3190039,"+",1062015,"nanE","YP_004891047.1",228,"-","N-acetylmannosamine-6-phosphate 2-epimerase","Central intermediary metabolism","Amino sugars","@Intracellular"
"96","lp_1824",-1.13729295753489,"chr","NC_004567.2",1650578,1651885,"+",1062906,"-","YP_004889620.1",435,"-","family 2 glycosyltransferase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Multi-transmembrane"
"149","lp_3016",-1.12762990328014,"chr","NC_004567.2",2683957,2684559,"-",1062634,"-","YP_004890587.1",200,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"139","lp_2873",-1.11979239940107,"chr","NC_004567.2",2558268,2559308,"-",1063251,"adh2","YP_004890476.1",346,"-","alcohol dehydrogenase","Energy metabolism","Fermentation","@Intracellular"
"67","lp_1525",-1.11425064685338,"chr","NC_004567.2",1395758,1396240,"-",1064163,"-","YP_004889364.1",160,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"25","lp_0347",-1.10929587800355,"chr","NC_004567.2",316235,316777,"+",1062182,"-","YP_004888380.1",180,"-","PadR family transcriptional regulator","Regulatory functions","Other","@Intracellular"
"126","lp_2602",-1.10860897480062,"chr","NC_004567.2",2321779,2322717,"-",1062826,"ccpB","YP_004890263.1",312,"-","catabolite control protein B / LacI family transcriptional regulator","Regulatory functions","LacI-family regulators","@Intracellular"
"11","lp_0159",-1.09964561828065,"chr","NC_004567.2",135873,136667,"+",1061312,"-","YP_004888217.1",264,"-","short-chain dehydrogenase","Energy metabolism","Aerobic","@Intracellular"
"55","lp_1096",-1.09729686802805,"chr","NC_004567.2",996962,997834,"+",1063353,"mtsB","YP_004889013.1",290,"-","manganese ABC transporter, permease protein","Transport and binding proteins","Cations","@Multi-transmembrane"
"90","lp_1790",-1.09233704126741,"chr","NC_004567.2",1622038,1622532,"+",1061517,"-","YP_004889591.1",164,"-","phosphohydrolase","Purines, pyrimidines, nucleosides and nucleotides","Salvage of nucleosides and nucleotides","@Intracellular"
"115","lp_2131",-1.08453092935269,"chr","NC_004567.2",1924138,1924863,"-",1063829,"comEA","YP_004889878.1",241,"-","ComE operon protein 1, DNA receptor","Cellular processes","DNA Transformation and competence","@N-terminally anchored (No CS)"
"8","lp_0134",-1.08452147041949,"chr","NC_004567.2",118306,119499,"+",1061336,"-","YP_004888201.1",397,"-","transport protein, major facilitator superfamily (MFS)","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"189","lp_3581",-1.07970616159601,"chr","NC_004567.2",3197044,3198303,"-",1062036,"lamC","YP_004891057.1",419,"-","two-component system histidine protein kinase; sensor protein","Regulatory functions","Two-component regulators","@Multi-transmembrane"
"41","lp_0889",-1.07452028773946,"chr","NC_004567.2",820381,820821,"-",1061199,"-","YP_004888846.1",146,"-","MarR family transcriptional regulator","Regulatory functions","MarR-family regulators","@Intracellular"
"66","lp_1467",-1.06890390538988,"chr","NC_004567.2",1344645,1344869,"-",1062355,"feoA","YP_004889310.1",74,"-","ferrous iron transport protein A","Transport and binding proteins","Cations","@Intracellular"
"114","lp_2108",-1.06239100410261,"chr","NC_004567.2",1902306,1903064,"-",1061509,"cps4A","YP_004889858.1",252,"-","polysaccharide biosynthesis protein, chain length regulator","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Multi-transmembrane"
"111","lp_2104",-1.06011434377953,"chr","NC_004567.2",1899212,1899877,"-",1063981,"cps4E","YP_004889854.1",221,"-","polysaccharide biosynthesis polyprenyl glycosylphosphotransferase, priming glycosyltransferase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@N-terminally anchored (No CS)"
"112","lp_2106",-1.0512587593549,"chr","NC_004567.2",1900821,1901615,"-",1063900,"cps4C","YP_004889856.1",264,"-","polysaccharide biosynthesis protein; phosphatase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"49","lp_0950",-1.05050846585972,"chr","NC_004567.2",882180,882731,"+",1063959,"-","YP_004888899.1",183,"-","Cro/CI family transcriptional regulator","Regulatory functions","Cro/CI-family regulators","@Intracellular"
"65","lp_1465",-1.05026724376903,"chr","NC_004567.2",1342474,1342638,"-",11933297,"-","YP_004889308.1",54,"-","hypothetical protein lp_1465","Hypothetical proteins","Conserved: other",""
"156","lp_3082",-1.04971003638025,"chr","NC_004567.2",2742416,2743621,"+",1063605,"-","YP_004890642.1",401,"-","carbohydrate transporter, major facilitator superfamily (MFS), putative 2,5 didehydro-D-gluconate-like","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"95","lp_1820",-1.03446030985691,"chr","NC_004567.2",1647361,1647888,"+",1063318,"-","YP_004889616.1",175,"-","GNAT family acetyltransferase","Hypothetical proteins","Conserved: putative function","@Intracellular"
"122","lp_2524",-1.02513354651176,"chr","NC_004567.2",2251205,2252395,"+",1062715,"-","YP_004890202.1",396,"-","diguanylate cyclase/phosphodiesterase, GGDEF domain","Hypothetical proteins","Conserved: putative function","@Multi-transmembrane"
"22","lp_0314",-1.02325151116339,"chr","NC_004567.2",290271,290603,"+",1064059,"-","YP_004888352.1",110,"-","membrane protein","Hypothetical proteins","Not conserved: membrane proteins","@Multi-transmembrane"
"128","lp_2658",-1.01466121693859,"chr","NC_004567.2",2361319,2362494,"-",1062912,"-","YP_004890301.1",391,"-","glycosyltransferase, family 1 (GT1)","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"187","lp_3578",-1.01371702862152,"chr","NC_004567.2",3193903,3195357,"+",1062016,"kat","YP_004891054.1",484,"-","catalase","Cellular processes","Adaptations and atypical conditions (Other)","@Intracellular"
"5","lp_0104",-1.00520260671228,"chr","NC_004567.2",93016,94290,"+",1061369,"larA","YP_004888174.1",424,"-","lactate racemization operon protein LarA","Cell envelope","Murein sacculus and peptidoglycan","@Intracellular"
"6","lp_0121",1.00522017780621,"chr","NC_004567.2",107856,108563,"+",1061348,"-","YP_004888189.1",235,"-","hypothetical protein lp_0121","Hypothetical proteins","Not conserved: other","@Intracellular"
"129","lp_2667",1.00820328872848,"chr","NC_004567.2",2370970,2371332,"+",1062921,"-","YP_004890310.1",120,"-","hypothetical protein lp_2667","Hypothetical proteins","Conserved: other","@Intracellular"
"134","lp_2757",1.01420709194631,"chr","NC_004567.2",2449505,2451229,"-",1063082,"-","YP_004890381.1",574,"-","maltogenic alpha-amylase","Central intermediary metabolism","Biosynthesis and degradation of polysaccharides","@Intracellular"
"38","lp_0803",1.01544584967844,"chr","NC_004567.2",744895,745629,"+",1063875,"glnQ1","YP_004888776.1",244,"-","glutamine ABC transporter ATP-binding protein","Transport and binding proteins","Amino acids, peptides and amines","@Intracellular"
"99","lp_1912",1.02122022386794,"chr","NC_004567.2",1729426,1731822,"-",1062050,"pps","YP_004889688.1",798,"-","phosphoenolpyruvate synthase (pyruvate phosphate dikinase)","Energy metabolism","Glycolysis","@Intracellular"
"105","lp_1948",1.04845402546621,"chr","NC_004567.2",1765436,1765903,"+",1061669,"-","YP_004889721.1",155,"-","MarR family transcriptional regulator","Regulatory functions","MarR-family regulators","@Intracellular"
"160","lp_3134",1.04872213675493,"chr","NC_004567.2",2803412,2803783,"+",1063873,"-","YP_004890688.1",123,"-","extracellular protein","Cell envelope","Cell surface proteins: membrane bound","@N-terminally anchored (No CS)"
"24","lp_0337",1.06586753311578,"chr","NC_004567.2",308883,309854,"+",1062138,"birA1","YP_004888373.1",323,"-","biotin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biotin","@Intracellular"
"131","lp_2701",1.08716513478367,"chr","NC_004567.2",2403822,2404916,"-",1062973,"pyrAA","YP_004890336.1",364,"-","carbamoyl-phosphate synthase,pyrimidine-specific, small chain","Purines, pyrimidines, nucleosides and nucleotides","Pyrimidine ribonucleotide biosynthesis","@Intracellular"
"180","lp_3451",1.09906348312606,"chr","NC_004567.2",3060607,3061620,"-",1063538,"-","YP_004890940.1",337,"-","cell surface protein precursor","Cell envelope","Cell surface proteins: other","@LPxTG Cell-wall anchored"
"118","lp_2485",1.11556050567495,"chr","NC_004567.2",2219950,2221926,"-",1062647,"-","YP_004890170.1",658,"-","hypothetical protein lp_2485","Hypothetical proteins","Not conserved: other","@Intracellular"
"124","lp_2578",1.14942769939402,"chr","NC_004567.2",2295265,2297382,"-",1062801,"-","YP_004890243.1",705,"-","cell surface adherence protein,collagen-binding domain, LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"85","lp_1687",1.1517348892457,"chr","NC_004567.2",1535527,1536585,"+",1061738,"rsgA","YP_004889503.1",352,"-","ribosome small subunit-dependent GTPase A","Other categories","Other","@Intracellular"
"1","lp_0070",1.15653738767333,"chr","NC_004567.2",68424,69671,"-",1061274,"-","YP_004888149.1",415,"-","4-hydroxyphenylacetate-3-hydroxylase,C-terminus (pseudogene)","Energy metabolism","Phenolic acids","@Intracellular"
"100","lp_1922",1.15794152680347,"chr","NC_004567.2",1742849,1743298,"+",1062064,"-","YP_004889697.1",149,"-","MarR family transcriptional regulator","Regulatory functions","MarR-family regulators","@Intracellular"
"150","lp_3017",1.16251606208179,"chr","NC_004567.2",2684713,2685060,"+",1063530,"-","YP_004890588.1",115,"-","hypothetical protein lp_3017","Hypothetical proteins","Conserved: other","@Intracellular"
"33","lp_0458",1.16716627480023,"chr","NC_004567.2",411603,412493,"+",1064147,"-","YP_004888475.1",296,"-","dimethyladenosine transferase","Protein synthesis","tRNA and rRNA base modification","@Intracellular"
"17","lp_0230",1.18401485367583,"chr","NC_004567.2",208913,210751,"+",1061397,"pts2CB","YP_004888277.1",612,"-","PTS system, mannitol-specific EIICB component","Transport and binding proteins","PTS systems","@Multi-transmembrane"
"37","lp_0802",1.18909749339041,"chr","NC_004567.2",743456,744892,"+",1063874,"-","YP_004888775.1",478,"-","polar amino acid ABC transporter, substrate binding and permease protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"148","lp_3014",1.20177307704624,"chr","NC_004567.2",2682079,2682693,"+",1063529,"-","YP_004890585.1",204,"-","extracellular transglycosylase, with LysM peptidoglycan binding domain","Cell envelope","Cell surface proteins: peptidoglycan-bound","@N-terminally anchored (No CS)"
"119","lp_2486",1.21011917625662,"chr","NC_004567.2",2222026,2224800,"-",1062646,"-","YP_004890171.1",924,"-","mucus-binding protein, LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"141","lp_2890",1.21410422397484,"chr","NC_004567.2",2569655,2570683,"-",1063283,"-","YP_004890489.1",342,"-","aldo/keto reductase family protein","Hypothetical proteins","Conserved: putative function","@N-terminally anchored (No CS)"
"107","lp_2058",1.21499234038013,"chr","NC_004567.2",1861191,1861496,"-",1061748,"-","YP_004889816.1",101,"-","endonuclease, GIY-YIG nuclease superfamily","Hypothetical proteins","Conserved: putative function","@Intracellular"
"136","lp_2855",1.23098142884906,"chr","NC_004567.2",2545177,2546439,"-",1063233,"dapE2","YP_004890460.1",420,"-","succinyl-diaminopimelate desuccinylase","Amino acid biosynthesis","Aspartate family","@Intracellular"
"159","lp_3098",1.23768928153736,"chr","NC_004567.2",2758531,2759568,"+",1063668,"-","YP_004890656.1",345,"-","NAD-dependent epimerase/dehydratase family protein","Hypothetical proteins","Conserved: putative function","@Intracellular"
"69","lp_1667",1.26105328949434,"chr","NC_004567.2",1519806,1520168,"+",1061615,"-","YP_004889484.1",120,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"182","lp_3476",1.26121341439413,"chr","NC_004567.2",3084249,3085235,"+",1063419,"ramR","YP_004890958.1",328,"-","AraC family transcriptional regulator","Regulatory functions","AraC-family regulators","@Intracellular"
"130","lp_2688",1.26976297478597,"chr","NC_004567.2",2386086,2386859,"-",1062955,"tauE1","YP_004890325.1",257,"-","sulfite export protein","Transport and binding proteins","Unknown substrate","@Multi-transmembrane"
"43","lp_0924",1.27715368702422,"chr","NC_004567.2",857133,857516,"+",1061872,"-","YP_004888876.1",127,"-","extracellular protein, MORN repeat family","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
"137","lp_2857",1.2882343336189,"chr","NC_004567.2",2549105,2549509,"-",1063223,"-","YP_004890462.1",134,"-","ABC transporter, ATP-binding protein,C-terminal domain","Transport and binding proteins","Unknown substrate",""
"58","lp_1298",1.28944281978119,"chr","NC_004567.2",1186076,1187005,"+",1062765,"metH","YP_004889180.1",309,"-","homocysteine S-methyltransferase (cobalamin-dependent)","Amino acid biosynthesis","Aspartate family","@Intracellular"
"23","lp_0336",1.29495776784194,"chr","NC_004567.2",308282,308845,"+",1062171,"-","YP_004888372.1",187,"-","biotin transporter","Hypothetical proteins","Conserved: putative function","@Multi-transmembrane"
"29","lp_0372",1.29858469338475,"chr","NC_004567.2",342261,342983,"+",1064207,"glpF3","YP_004888403.1",240,"-","glycerol uptake facilitator protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
